Time,1ALTE,1BLTE,1CLTE,2ALTE,3ALTE,3BLTE,3CLTE,4ALTE,4BLTE,4CLTE,5ALTE,5BLTE,5CLTE
2015-11-25 15:00:00.0,158.926448,233.051891,53.808942,0.376484,89.607369,82.441461,39.447611,31.308453,82.999758,181.382077,45.047589,229.291504,141.668478
2015-11-25 15:15:00.0,100.271411,202.76511,81.523884,0.132014,87.238137,83.923615,35.93694,30.165834,82.989887,57.859102,44.286786,121.052976,92.026386
2015-11-25 15:30:00.0,104.166413,152.319767,60.187468,0.039168,154.465219,55.799909,27.012691,54.233852,87.868394,71.299305,17.756224,97.411746,151.584705
2015-11-25 15:45:00.0,186.299275,41.675622,88.980805,0.08702,55.087563,56.727055,39.108253,26.528267,219.316615,150.464331,52.327213,200.211398,60.829384
2015-11-25 16:00:00.0,144.697596,68.832556,190.156824,0.034729,84.351585,87.233577,25.650879,26.041311,244.174194,98.693401,58.041088,113.477888,118.047913
2015-11-25 16:15:00.0,189.228411,41.975956,173.391112,0.037719,168.824372,88.028777,14.778098,36.18419,250.900565,126.607566,15.191309,198.596504,91.181819
2015-11-25 16:30:00.0,460.939538,112.44083,170.67148,0.382719,115.055977,136.271984,46.356251,62.61045,141.34473,43.253185,35.582048,176.627094,116.062654
2015-11-25 16:45:00.0,150.648765,81.513689,78.413023,0.53659,23.428942,106.464987,99.423605,20.428195,166.659943,43.964369,34.494076,213.893303,54.626641
2015-11-25 17:00:00.0,233.248176,114.529766,147.085662,0.334594,65.621044,51.4933,78.157828,20.604587,248.236747,51.39521,21.017639,221.14101,61.182022
2015-11-25 17:15:00.0,163.971633,137.493481,254.458824,0.181394,31.331456,122.630934,20.944682,43.969843,85.305406,104.134891,25.380223,157.073068,310.076633
2015-11-25 17:30:00.0,193.255672,144.691817,50.162584,0.352174,64.837046,42.330788,89.986644,101.622033,154.950892,88.156385,14.877694,85.147312,89.046524
2015-11-25 17:45:00.0,197.31866,124.563104,169.580932,0.303859,106.817855,42.911503,11.309321,109.57746,157.593334,96.057008,22.20228,66.682191,171.203043
2015-11-25 18:00:00.0,226.365693,105.171386,162.810047,1.00048,141.379823,30.411472,40.567287,42.042567,146.378923,49.011335,11.288248,73.326376,117.071821
